ZSimpWin
06/26/2018, 1:30:57 PM

     Impedance data  
   65 
             Freq(Hz)      Zr_cal     Zi_cal  
             --------      ------     ------  
   1.000000e+06    1.013005e+02    5.515451e-01 
   7.498942e+05    1.001737e+02    1.556077e+00 
   5.623413e+05    9.988440e+01    6.926504e-01 
   4.216965e+05    1.009034e+02    6.725573e-01 
   3.162278e+05    9.974579e+01    1.400706e-01 
   2.371374e+05    1.003669e+02   -1.256480e+00 
   1.778279e+05    1.011312e+02    2.652544e+00 
   1.333521e+05    1.003902e+02    1.829592e+00 
   1.000000e+05    1.002742e+02    1.833433e+00 
   7.498942e+04    1.009103e+02    2.169210e+00 
   5.623413e+04    1.018351e+02    2.677977e+00 
   4.216965e+04    1.013168e+02    5.094477e+00 
   3.162278e+04    1.020734e+02    5.579337e+00 
   2.371374e+04    1.030637e+02    6.551041e+00 
   1.778279e+04    1.026615e+02    7.195331e+00 
   1.333521e+04    1.034983e+02    9.896730e+00 
   1.000000e+04    1.063743e+02    1.447671e+01 
   7.498942e+03    1.072760e+02    1.508479e+01 
   5.623413e+03    1.091199e+02    1.958631e+01 
   4.216965e+03    1.119443e+02    2.192528e+01 
   3.162278e+03    1.158243e+02    2.609141e+01 
   2.371374e+03    1.191252e+02    3.154263e+01 
   1.778279e+03    1.224671e+02    3.773217e+01 
   1.333521e+03    1.266587e+02    4.141095e+01 
   1.000000e+03    1.321407e+02    5.109705e+01 
   7.498942e+02    1.388022e+02    6.037773e+01 
   5.623413e+02    1.443151e+02    7.312983e+01 
   4.216965e+02    1.509654e+02    8.962855e+01 
   3.162278e+02    1.606668e+02    1.072149e+02 
   2.371374e+02    1.676427e+02    1.342526e+02 
   1.778279e+02    1.833384e+02    1.678617e+02 
   1.333521e+02    1.994797e+02    2.058737e+02 
   1.000000e+02    2.183160e+02    2.582203e+02 
   7.498942e+01    2.466586e+02    3.209013e+02 
   5.623413e+01    2.709102e+02    4.043950e+02 
   4.216965e+01    3.127572e+02    5.043761e+02 
   3.162278e+01    3.524300e+02    6.226222e+02 
   2.371374e+01    4.213753e+02    7.877413e+02 
   1.778279e+01    4.919400e+02    9.838914e+02 
   1.333521e+01    5.996505e+02    1.214355e+03 
   1.000000e+01    7.262286e+02    1.513663e+03 
   7.498942e+00    8.843808e+02    1.882525e+03 
   5.623413e+00    1.071438e+03    2.289075e+03 
   4.216965e+00    1.268333e+03    2.868345e+03 
   3.162278e+00    1.547795e+03    3.506135e+03 
   2.371374e+00    2.017711e+03    4.408155e+03 
   1.778279e+00    2.457123e+03    5.387067e+03 
   1.333521e+00    3.062081e+03    6.689992e+03 
   1.000000e+00    3.875842e+03    8.348561e+03 
   7.498942e-01    4.844826e+03    1.023285e+04 
   5.623413e-01    5.821390e+03    1.271854e+04 
   4.216965e-01    7.476068e+03    1.546078e+04 
   3.162278e-01    9.207409e+03    1.894364e+04 
   2.371374e-01    1.172258e+04    2.274212e+04 
   1.778279e-01    1.456591e+04    2.805836e+04 
   1.333521e-01    1.806238e+04    3.454987e+04 
   1.000000e-01    2.167285e+04    4.218389e+04 
   7.498942e-02    2.775756e+04    5.042334e+04 
   5.623413e-02    3.454586e+04    6.134630e+04 
   4.216965e-02    4.199081e+04    7.461628e+04 
   3.162278e-02    5.261613e+04    8.766766e+04 
   2.371374e-02    6.465515e+04    1.083252e+05 
   1.778279e-02    7.753101e+04    1.303816e+05 
   1.333521e-02    9.488172e+04    1.542615e+05 
   1.000000e-02    1.176123e+05    1.857258e+05 
